6220016,6,Fat
100688,41,Added_Sugar
100688,73,Carbohydrates
100688,403,Calories
100688,5,Protein
100688,057,Salt
100688,7,Saturated_Fat
100688,12,Fat
6803151,11,Added_Sugar
6803151,13,Carbohydrates
6803151,367,Calories
6803151,35,Protein
6803151,38,Salt
6803151,12,Saturated_Fat
6803151,19,Fat
100679,7,Added_Sugar
100679,15,Carbohydrates
100679,140,Calories
100679,2,Protein
100679,01,Salt
100679,4,Saturated_Fat
100679,9,Fat
9069586,17,Added_Sugar
9069586,40,Carbohydrates
9069586,407,Calories
9069586,29,Protein
9069586,05,Salt
9069586,3,Saturated_Fat
9069586,12,Fat
5910431,3,Added_Sugar
5910431,19,Carbohydrates
5910431,519,Calories
5910431,13,Protein
5910431,21,Salt
5910431,6,Saturated_Fat
5910431,42,Fat
98882,21,Added_Sugar
98882,59,Carbohydrates
98882,820,Calories
98882,75,Protein
98882,5,Salt
98882,12,Saturated_Fat
98882,34,Fat
7944956,5,Added_Sugar
7944956,5,Carbohydrates
7944956,307,Calories
7944956,21,Protein
7944956,11,Salt
7944956,7,Saturated_Fat
7944956,22,Fat
3976621,8,Added_Sugar
3976621,37,Carbohydrates
3976621,689,Calories
3976621,53,Protein
3976621,14,Salt
3976621,13,Saturated_Fat
3976621,36,Fat
6602476,5,Added_Sugar
6602476,15,Carbohydrates
6602476,170,Calories
6602476,9,Protein
6602476,022,Salt
6602476,2,Saturated_Fat
6602476,7,Fat
95227,35,Carbohydrates
95227,623,Calories
95227,10,Protein
95227,059,Salt
95227,26,Saturated_Fat
95227,50,Fat
96036,47,Added_Sugar
96036,73,Carbohydrates
96036,998,Calories
96036,18,Protein
96036,11,Salt
96036,28,Saturated_Fat
96036,72,Fat
97152,23,Added_Sugar
97152,39,Carbohydrates
97152,362,Calories
97152,6,Protein
97152,05,Salt
97152,9,Saturated_Fat
97152,20,Fat
98249,8,Added_Sugar
98249,13,Carbohydrates
98249,91,Calories
98249,1,Protein
98249,01,Salt
98249,2,Saturated_Fat
98249,5,Fat
97089,11,Added_Sugar
97089,11,Carbohydrates
97089,54,Calories
97089,1,Protein
97089,09,Salt
97089,1,Fat
6486331,2,Added_Sugar
6486331,2,Carbohydrates
6486331,424,Calories
6486331,8,Protein
6486331,04,Salt
6486331,25,Saturated_Fat
6486331,42,Fat
3448836,76,Added_Sugar
3448836,87,Carbohydrates
3448836,667,Calories
3448836,5,Protein
3448836,08,Salt
3448836,21,Saturated_Fat
3448836,33,Fat
100822,1,Added_Sugar
100822,6,Carbohydrates
100822,28,Calories
100822,1,Protein
100822,002,Salt
98959,23,Added_Sugar
98959,45,Carbohydrates
98959,491,Calories
98959,9,Protein
98959,068,Salt
98959,13,Saturated_Fat
98959,32,Fat
7834806,10,Added_Sugar
7834806,19,Carbohydrates
7834806,187,Calories
7834806,7,Protein
7834806,05,Salt
7834806,1,Saturated_Fat
7834806,8,Fat
98543,1,Carbohydrates
98543,181,Calories
98543,9,Protein
98543,099,Salt
98543,7,Saturated_Fat
98543,16,Fat
4919771,8,Added_Sugar
4919771,31,Carbohydrates
4919771,363,Calories
4919771,11,Protein
4919771,02,Salt
4919771,12,Saturated_Fat
4919771,20,Fat
8015766,3,Added_Sugar
8015766,3,Carbohydrates
8015766,70,Calories
8015766,04,Protein
8015766,001,Salt
100683,19,Added_Sugar
100683,21,Carbohydrates
100683,102,Calories
100683,2,Protein
100683,003,Salt
100683,1,Fat
100442,6,Added_Sugar
100442,15,Carbohydrates
100442,256,Calories
100442,5,Protein
100442,048,Salt
100442,12,Saturated_Fat
100442,20,Fat
8247716,3,Added_Sugar
8247716,3,Carbohydrates
8247716,258,Calories
8247716,29,Protein
8247716,03,Salt
8247716,6,Saturated_Fat
8247716,14,Fat
98717,6,Added_Sugar
98717,60,Carbohydrates
98717,574,Calories
98717,28,Protein
98717,111,Salt
98717,8,Saturated_Fat
98717,27,Fat
97312,8,Added_Sugar
97312,31,Carbohydrates
97312,274,Calories
97312,14,Protein
97312,09,Salt
97312,6,Saturated_Fat
97312,10,Fat
95839,8,Added_Sugar
95839,8,Carbohydrates
95839,228,Calories
95839,32,Protein
95839,221,Salt
95839,3,Saturated_Fat
95839,8,Fat
98250,86,Added_Sugar
98250,111,Carbohydrates
98250,948,Calories
98250,8,Protein
98250,14,Salt
98250,33,Saturated_Fat
98250,54,Fat
96624,71,Added_Sugar
96624,517,Carbohydrates
96624,485,Calories
96624,401,Protein
96624,06,Salt
96624,15,Saturated_Fat
96624,117,Fat
101919,6,Added_Sugar
101919,7,Carbohydrates
101919,340,Calories
101919,28,Protein
101919,235,Salt
101919,7,Saturated_Fat
101919,23,Fat
93778,16,Carbohydrates
93778,671,Calories
93778,34,Protein
93778,029,Salt
93778,8,Saturated_Fat
93778,53,Fat
99183,36,Added_Sugar
99183,53,Carbohydrates
99183,389,Calories
99183,5,Protein
99183,03,Salt
99183,9,Saturated_Fat
99183,19,Fat
95994,14,Carbohydrates
95994,290,Calories
95994,19,Protein
95994,06,Salt
95994,3,Saturated_Fat
95994,18,Fat
93772,1,Added_Sugar
93772,21,Carbohydrates
93772,478,Calories
93772,8,Protein
93772,047,Salt
93772,20,Saturated_Fat
93772,40,Fat
6375671,35,Added_Sugar
6375671,36,Carbohydrates
6375671,163,Calories
6375671,2,Protein
6375671,004,Salt
6375671,01,Saturated_Fat
6375671,1,Fat
99368,9,Added_Sugar
99368,70,Carbohydrates
99368,334,Calories
99368,9,Protein
99368,136,Salt
99368,1,Saturated_Fat
99368,4,Fat
3454751,6,Added_Sugar
3454751,12,Carbohydrates
3454751,242,Calories
3454751,33,Protein
3454751,07,Salt
3454751,2,Saturated_Fat
3454751,7,Fat
99570,2,Added_Sugar
99570,47,Carbohydrates
99570,435,Calories
99570,23,Protein
99570,377,Salt
99570,4,Saturated_Fat
99570,18,Fat
94466,1,Added_Sugar
94466,14,Carbohydrates
94466,185,Calories
94466,5,Protein
94466,299,Salt
94466,7,Saturated_Fat
94466,12,Fat
6912941,11,Added_Sugar
6912941,54,Carbohydrates
6912941,389,Calories
6912941,15,Protein
6912941,31,Salt
6912941,3,Saturated_Fat
6912941,11,Fat
7529906,5,Added_Sugar
7529906,5,Carbohydrates
7529906,216,Calories
7529906,17,Protein
7529906,06,Salt
